,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,CurrentEmployerType,LanguageRecommendationSelect,FormalEducation,CompensationAmount,CompensationCurrency,exchangeRate,CompensationAmountExanged
135,Male,Brazil,38.0,Employed full-time,Yes,Programmer,Employed by professional services/consulting firm,Python,Bachelor's degree,60000,BRL,0.32135,19281.0
145,Female,United Kingdom,31.0,Employed full-time,Yes,Data Analyst,Employed by a company that doesn't perform advanced analytics,SQL,Doctoral degree,29000,GBP,1.324188,38401.452
158,Male,United Kingdom,30.0,Employed full-time,Yes,Data Analyst,Employed by company that makes advanced analytic software,SQL,Bachelor's degree,45000,GBP,1.324188,59588.46
163,Male,United States,49.0,Employed full-time,Yes,DBA/Database Engineer,Employed by a company that doesn't perform advanced analytics,Other,I did not complete any formal education past high school,85000,USD,1.0,85000.0
178,Male,United States,27.0,Employed full-time,Yes,Other,Employed by professional services/consulting firm,SQL,Bachelor's degree,55000,USD,1.0,55000.0
179,Male,France,26.0,Employed full-time,Yes,Scientist/Researcher,Employed by government,R,Master's degree,25000,EUR,1.195826,29895.65
181,A different identity,Canada,23.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Bachelor's degree,85000,USD,1.0,85000.0
183,Male,India,23.0,Employed full-time,Yes,Engineer,"Employed by professional services/consulting firm,Self-employed",Python,Master's degree,360000,INR,0.01562,5623.2
187,Female,United States,31.0,Employed full-time,Yes,Scientist/Researcher,Employed by company that makes advanced analytic software,Python,Master's degree,92000,USD,1.0,92000.0
194,Female,United States,31.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,R,Master's degree,79000,USD,1.0,79000.0
197,Male,United States,50.0,Employed full-time,Yes,Scientist/Researcher,Employed by a company that doesn't perform advanced analytics,Python,Doctoral degree,305000,USD,1.0,305000.0
201,Male,United States,72.0,Employed full-time,Yes,Data Scientist,Employed by college or university,Python,Doctoral degree,250000,USD,1.0,250000.0
203,Male,United States,37.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Doctoral degree,90000,USD,1.0,90000.0
205,Male,New Zealand,30.0,Employed full-time,Yes,Data Analyst,Employed by government,R,Bachelor's degree,90000,NZD,0.727801,65502.090000000004
206,Male,France,24.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,R,Master's degree,40000,EUR,1.195826,47833.04
222,Male,Netherlands,26.0,Employed full-time,Yes,Business Analyst,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",Python,Master's degree,35000,EUR,1.195826,41853.91
226,Male,Chile,37.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,Professional degree,800000,CLP,0.001606,1284.8
242,Male,United States,35.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Doctoral degree,160000,USD,1.0,160000.0
255,Male,Belarus,31.0,Employed full-time,Yes,Programmer,Employed by professional services/consulting firm,Python,Master's degree,25000,USD,1.0,25000.0
256,Male,Czech Republic,25.0,Employed full-time,Yes,Other,Employed by professional services/consulting firm,R,Master's degree,25000,CZK,0.04582,1145.5
258,Female,United States,28.0,Employed full-time,Yes,Engineer,Employed by a company that performs advanced analytics,Python,Master's degree,80000,USD,1.0,80000.0
271,Male,Poland,26.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,R,Master's degree,96,PLN,0.281104,26.985984000000002
274,Male,France,30.0,Employed full-time,Yes,Other,Employed by professional services/consulting firm,Python,Doctoral degree,33000,EUR,1.195826,39462.258
279,Male,United States,26.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,Python,Bachelor's degree,85000,USD,1.0,85000.0
283,Male,United States,39.0,Employed full-time,Yes,Software Developer/Software Engineer,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",Python,I prefer not to answer,180000,USD,1.0,180000.0
295,Male,United Kingdom,23.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,Python,Master's degree,42500,GBP,1.324188,56277.99
307,Male,United States,26.0,Employed full-time,Yes,Other,Employed by a company that doesn't perform advanced analytics,R,Master's degree,80000,USD,1.0,80000.0
312,Male,South Africa,24.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Bachelor's degree,360000,ZAR,0.077002,27720.72
313,Male,Canada,52.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,Bachelor's degree,90000,USD,1.0,90000.0
315,Male,Other,50.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,R,Some college/university study without earning a bachelor's degree,39000,USD,1.0,39000.0
318,Male,United States,42.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Bachelor's degree,180000,USD,1.0,180000.0
325,Male,United States,27.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,SQL,Master's degree,155000,USD,1.0,155000.0
328,Male,United States,52.0,Employed full-time,Yes,Scientist/Researcher,Employed by company that makes advanced analytic software,Python,Doctoral degree,170075,USD,1.0,170075.0
332,Male,India,25.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,R,Bachelor's degree,1200000,INR,0.01562,18744.0
338,Male,Australia,38.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,Doctoral degree,300000,AUD,0.80231,240693.0
348,Female,United States,25.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Doctoral degree,30000,USD,1.0,30000.0
356,Male,South Korea,27.0,Employed full-time,Yes,Business Analyst,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",SQL,Bachelor's degree,40000000,KRW,0.000886,35440.0
370,Male,United States,31.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Doctoral degree,49000,USD,1.0,49000.0
375,Male,New Zealand,58.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Doctoral degree,120000,NZD,0.727801,87336.12000000001
380,Female,United States,31.0,Employed full-time,Yes,Data Analyst,Employed by non-profit or NGO,Python,Bachelor's degree,65000,USD,1.0,65000.0
393,Male,Chile,30.0,Employed full-time,Yes,Machine Learning Engineer,Employed by company that makes advanced analytic software,Python,Doctoral degree,2000000,CLP,0.001606,3212.0
395,Male,Colombia,25.0,Employed full-time,Yes,Machine Learning Engineer,Employed by a company that performs advanced analytics,,Bachelor's degree,4000000,COP,0.000342,1368.0
397,Male,Mexico,21.0,Employed full-time,Yes,Engineer,Employed by college or university,Other,Bachelor's degree,30000,MXN,0.056414,1692.42
400,Male,United States,27.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,Bachelor's degree,115000,USD,1.0,115000.0
402,Male,United States,31.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,R,Professional degree,135000,USD,1.0,135000.0
413,A different identity,United States,37.0,Employed full-time,Yes,Software Developer/Software Engineer,Self-employed,C/C++/C#,Master's degree,135000,USD,1.0,135000.0
418,Female,United States,25.0,Employed full-time,Yes,Data Analyst,Employed by college or university,Python,Master's degree,50000,USD,1.0,50000.0
419,Male,United States,29.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,Bachelor's degree,470000,USD,1.0,470000.0
421,Male,Brazil,29.0,Employed full-time,Yes,Machine Learning Engineer,Employed by company that makes advanced analytic software,Python,Professional degree,96000,BRL,0.32135,30849.600000000002
427,Male,Italy,32.0,Employed full-time,Yes,Other,Employed by a company that doesn't perform advanced analytics,Matlab,Master's degree,40000,EUR,1.195826,47833.04
436,Male,United Kingdom,31.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Master's degree,31000,GBP,1.324188,41049.827999999994
440,Male,Ukraine,22.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,Python,Master's degree,17200,USD,1.0,17200.0
441,Male,Ireland,27.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,60000,EUR,1.195826,71749.56
442,Male,Portugal,29.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Doctoral degree,12000,EUR,1.195826,14349.912
450,Male,Brazil,30.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,Professional degree,120000,BRL,0.32135,38562.0
452,Female,United States,48.0,Employed full-time,Yes,Predictive Modeler,Employed by professional services/consulting firm,Python,Master's degree,130000,USD,1.0,130000.0
460,Male,Brazil,34.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Master's degree,277000,BRL,0.32135,89013.95000000001
463,Male,United States,47.0,Employed full-time,Yes,Other,Employed by a company that performs advanced analytics,Python,Bachelor's degree,178000,USD,1.0,178000.0
467,Male,United States,25.0,Employed full-time,Yes,Other,Employed by professional services/consulting firm,,Bachelor's degree,100000,USD,1.0,100000.0
471,Male,United States,40.0,Employed full-time,Yes,DBA/Database Engineer,Employed by company that makes advanced analytic software,Python,Doctoral degree,150000,USD,1.0,150000.0
473,Male,Argentina,25.0,Employed full-time,Yes,Computer Scientist,Employed by a company that performs advanced analytics,Python,Bachelor's degree,24000,ARS,0.058444,1402.6560000000002
476,Male,United States,25.0,Employed full-time,Yes,Other,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Master's degree,85000,USD,1.0,85000.0
479,Male,United States,56.0,Employed full-time,Yes,Business Analyst,Employed by a company that performs advanced analytics,Python,Bachelor's degree,107000,USD,1.0,107000.0
480,Male,Hong Kong,36.0,Employed full-time,Yes,Predictive Modeler,Employed by a company that performs advanced analytics,Python,Doctoral degree,600000,HKD,0.127998,76798.8
488,Male,United States,24.0,Employed full-time,Yes,Engineer,Employed by government,Matlab,Bachelor's degree,67500,USD,1.0,67500.0
494,Male,Canada,24.0,Employed full-time,Yes,Business Analyst,Employed by professional services/consulting firm,Python,Bachelor's degree,75000,CAD,0.823688,61776.6
497,Male,United Kingdom,24.0,Employed full-time,Yes,Data Analyst,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,42000,GBP,1.324188,55615.89599999999
499,Male,United States,23.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,Python,Bachelor's degree,58000,USD,1.0,58000.0
501,Male,United States,23.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,100000,USD,1.0,100000.0
502,Male,Other,25.0,Employed full-time,Yes,Business Analyst,Employed by professional services/consulting firm,Python,Bachelor's degree,25000,USD,1.0,25000.0
503,Male,United States,29.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,105000,USD,1.0,105000.0
512,Male,United States,35.0,Employed full-time,Yes,Other,Employed by a company that performs advanced analytics,Python,Master's degree,60000,USD,1.0,60000.0
513,Male,People 's Republic of China,28.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,R,Master's degree,180000,CNY,0.153,27540.0
518,Female,United States,27.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Doctoral degree,75000,AMD,0.00209,156.75
519,Male,United States,40.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Scala,Master's degree,125000,USD,1.0,125000.0
521,Male,Portugal,27.0,Employed full-time,Yes,Programmer,Employed by professional services/consulting firm,R,Master's degree,17000,EUR,1.195826,20329.042
524,Male,Canada,46.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,154000,CAD,0.823688,126847.95199999999
525,Male,Australia,30.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,R,Master's degree,125000,AUD,0.80231,100288.75
526,Male,United States,36.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,Master's degree,70000,USD,1.0,70000.0
531,Male,United States,32.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,R,Bachelor's degree,78000,USD,1.0,78000.0
537,Male,People 's Republic of China,28.0,Employed full-time,Yes,DBA/Database Engineer,Employed by professional services/consulting firm,Python,Bachelor's degree,300000,CNY,0.153,45900.0
542,Male,Brazil,26.0,Employed full-time,Yes,Software Developer/Software Engineer,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Python,Bachelor's degree,24000,BRL,0.32135,7712.400000000001
545,Male,Russia,30.0,Employed full-time,Yes,Machine Learning Engineer,"Employed by professional services/consulting firm,Employed by college or university",Python,Doctoral degree,65000,USD,1.0,65000.0
555,Male,United States,26.0,Employed full-time,Yes,Business Analyst,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,35000,USD,1.0,35000.0
563,Male,United States,28.0,Employed full-time,Yes,Scientist/Researcher,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Doctoral degree,121000,USD,1.0,121000.0
565,Male,South Korea,53.0,Employed full-time,Yes,Researcher,Employed by college or university,Python,Doctoral degree,80000,USD,1.0,80000.0
569,Male,Australia,36.0,Employed full-time,Yes,Business Analyst,Employed by a company that performs advanced analytics,Python,Bachelor's degree,150000,AUD,0.80231,120346.5
572,Male,United States,23.0,Employed full-time,Yes,Business Analyst,Employed by a company that doesn't perform advanced analytics,R,Bachelor's degree,85000,USD,1.0,85000.0
575,Male,Canada,60.0,Employed full-time,Yes,Researcher,Employed by college or university,R,Doctoral degree,200000,CAD,0.823688,164737.6
577,Female,Australia,23.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,SQL,Bachelor's degree,78000,AUD,0.80231,62580.18
581,Male,Colombia,29.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Master's degree,80000000,COP,0.000342,27360.0
582,Male,Japan,37.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,8000000,JPY,0.009108,72864.0
596,Male,United States,26.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Master's degree,59000,USD,1.0,59000.0
597,Male,United States,28.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Bachelor's degree,94000,USD,1.0,94000.0
605,Male,United States,41.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,Master's degree,80000,USD,1.0,80000.0
607,Male,China,30.0,Employed full-time,Yes,Other,Employed by government,Python,Bachelor's degree,800000,TWD,0.033304,26643.2
612,Female,United States,42.0,Employed full-time,Yes,Data Analyst,"Employed by a company that performs advanced analytics,Employed by a company that doesn't perform advanced analytics",Python,Bachelor's degree,75000,USD,1.0,75000.0
613,Male,Other,27.0,Employed full-time,Yes,Machine Learning Engineer,Employed by professional services/consulting firm,Python,Bachelor's degree,50000,USD,1.0,50000.0
617,Male,Colombia,26.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,R,Professional degree,3600000,COP,0.000342,1231.2
620,Male,United States,47.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Scala,Bachelor's degree,165000,USD,1.0,165000.0
627,Male,United States,28.0,Employed full-time,Yes,Business Analyst,Employed by government,Python,Master's degree,85000,USD,1.0,85000.0
632,Male,United States,36.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Doctoral degree,226000,USD,1.0,226000.0
633,Male,Canada,37.0,Employed full-time,Yes,Other,Employed by government,SQL,Master's degree,75000,CAD,0.823688,61776.6
638,Male,Ireland,42.0,Employed full-time,Yes,DBA/Database Engineer,Employed by a company that performs advanced analytics,SQL,Master's degree,100000,EUR,1.195826,119582.6
639,Male,United States,41.0,Employed full-time,Yes,Other,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Master's degree,200000,USD,1.0,200000.0
641,Female,United States,43.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,SQL,Bachelor's degree,80000,USD,1.0,80000.0
647,Male,United States,45.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Master's degree,130000,AMD,0.00209,271.7
650,Male,Canada,23.0,Employed full-time,Yes,Other,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,70000,CAD,0.823688,57658.159999999996
651,Male,United States,25.0,Employed full-time,Yes,Computer Scientist,Employed by professional services/consulting firm,Python,Master's degree,95000,USD,1.0,95000.0
652,Male,United States,35.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Doctoral degree,117000,USD,1.0,117000.0
670,Male,United States,37.0,Employed full-time,Yes,Other,Employed by a company that performs advanced analytics,Python,Doctoral degree,255000,USD,1.0,255000.0
671,Male,Mexico,37.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Java,Bachelor's degree,92000,USD,1.0,92000.0
675,Male,United States,29.0,Employed full-time,Yes,Operations Research Practitioner,Employed by government,Python,Master's degree,90000,USD,1.0,90000.0
678,Male,United States,32.0,Employed full-time,Yes,Operations Research Practitioner,Employed by government,Python,Master's degree,80000,USD,1.0,80000.0
683,Male,Malaysia,27.0,Employed full-time,Yes,Other,Employed by government,SQL,Bachelor's degree,3200,MYR,0.237786,760.9152
688,Male,Hong Kong,28.0,Employed full-time,Yes,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,Bachelor's degree,208000,HKD,0.127998,26623.584
689,Male,People 's Republic of China,31.0,Employed full-time,Yes,Machine Learning Engineer,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,250000,CNY,0.153,38250.0
690,Male,United States,31.0,Employed full-time,Yes,Business Analyst,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",R,Master's degree,190000,USD,1.0,190000.0
697,Male,United States,51.0,Employed full-time,Yes,Data Scientist,,Python,Doctoral degree,200000,USD,1.0,200000.0
710,Male,Japan,55.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Professional degree,10000000,JPY,0.009108,91080.0
717,Male,Japan,32.0,Employed full-time,Yes,Data Scientist,,SQL,Doctoral degree,8500000,JPY,0.009108,77418.0
725,Male,Malaysia,34.0,Employed full-time,Yes,Other,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,77000,USD,1.0,77000.0
728,Male,United States,25.0,Employed full-time,Yes,Scientist/Researcher,"Employed by college or university,Employed by a company that doesn't perform advanced analytics,Employed by non-profit or NGO",Matlab,Master's degree,20000,USD,1.0,20000.0
735,Male,United States,50.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,C/C++/C#,Bachelor's degree,220000,USD,1.0,220000.0
737,Male,Vietnam,22.0,Employed full-time,Yes,Data Analyst,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,10000000,VND,4.4e-05,440.0
740,Male,United States,32.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,180000,USD,1.0,180000.0
741,Male,United States,31.0,Employed full-time,Yes,Statistician,Employed by government,R,Master's degree,105000,USD,1.0,105000.0
742,Male,China,48.0,Employed full-time,Yes,Engineer,Self-employed,Python,I did not complete any formal education past high school,500000,TWD,0.033304,16652.0
744,Male,United States,34.0,Employed full-time,Yes,Operations Research Practitioner,Employed by government,R,Master's degree,79000,USD,1.0,79000.0
748,Male,Other,53.0,Employed full-time,Yes,Business Analyst,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,175000,USD,1.0,175000.0
752,Male,India,25.0,Employed full-time,Yes,Machine Learning Engineer,Employed by professional services/consulting firm,R,Bachelor's degree,475000,INR,0.01562,7419.5
755,Male,Brazil,31.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,Master's degree,100000,BRL,0.32135,32135.000000000004
756,Male,United States,64.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,140000,USD,1.0,140000.0
758,Male,Russia,28.0,Employed full-time,Yes,Computer Scientist,Employed by professional services/consulting firm,C/C++/C#,Doctoral degree,484000,RUB,0.017402,8422.568000000001
761,Male,Japan,42.0,Employed full-time,Yes,Other,Employed by professional services/consulting firm,Python,Bachelor's degree,6500000,JPY,0.009108,59202.0
762,Male,Brazil,31.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Master's degree,80000,BRL,0.32135,25708.000000000004
764,Male,China,26.0,Employed full-time,Yes,Programmer,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,648000,TWD,0.033304,21580.992
765,Male,India,24.0,Employed full-time,Yes,Software Developer/Software Engineer,"Employed by company that makes advanced analytic software,Employed by college or university,Employed by a company that performs advanced analytics",R,Some college/university study without earning a bachelor's degree,2200000,INR,0.01562,34364.0
774,Male,People 's Republic of China,42.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Doctoral degree,600000,CNY,0.153,91800.0
776,Male,United States,30.0,Employed full-time,Yes,Computer Scientist,Employed by college or university,Python,Master's degree,38000,USD,1.0,38000.0
778,Male,Japan,33.0,Employed full-time,Yes,Data Analyst,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Other,Master's degree,7000000,JPY,0.009108,63756.0
780,Male,United States,22.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Bachelor's degree,85000,USD,1.0,85000.0
781,Male,United States,41.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Doctoral degree,150000,USD,1.0,150000.0
782,Female,United States,38.0,Employed full-time,Yes,DBA/Database Engineer,Employed by government,SAS,Master's degree,65000,USD,1.0,65000.0
785,Male,Other,43.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Master's degree,120000,USD,1.0,120000.0
800,Male,India,28.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Bachelor's degree,1300000,INR,0.01562,20306.0
802,Male,Philippines,23.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,Python,Bachelor's degree,55000,PHP,0.019637,1080.035
811,Male,United States,30.0,Employed full-time,Yes,Other,Employed by government,SQL,Master's degree,65000,USD,1.0,65000.0
814,Male,United States,65.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Doctoral degree,134000,USD,1.0,134000.0
815,Male,Indonesia,27.0,Employed full-time,Yes,Other,Employed by a company that performs advanced analytics,Python,Bachelor's degree,0,IDR,7.6e-05,0.0
819,Male,People 's Republic of China,29.0,Employed full-time,Yes,Machine Learning Engineer,Employed by college or university,Python,Master's degree,300000,CNY,0.153,45900.0
823,Male,India,48.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,0,BIF,0.000572,0.0
829,Male,Australia,50.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,200000,AUD,0.80231,160462.0
830,Female,China,40.0,Employed full-time,Yes,Computer Scientist,Employed by a company that performs advanced analytics,Python,Professional degree,70000,TWD,0.033304,2331.28
833,Male,United States,34.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Bachelor's degree,320000,USD,1.0,320000.0
834,Female,Australia,38.0,Employed full-time,Yes,Researcher,Employed by college or university,Python,Master's degree,27000,AUD,0.80231,21662.37
849,Male,China,45.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,R,Master's degree,1500000,TWD,0.033304,49956.0
